model,mean_background_fairness,std_background_fairness,mean_collision_rate,std_collision_rate,mean_episode_length,std_episode_length,mean_episode_reward,std_episode_reward,mean_mean_forward_time,std_mean_forward_time,mean_policy_entropy,std_policy_entropy,mean_spectrum_utilization,std_spectrum_utilization,mean_steps,std_steps,mean_success_rate,std_success_rate,mean_wall_clock_proxy_time,std_wall_clock_proxy_time,seed,scenario,parameter_count,train_steps,wall_clock_training_time,mean_wall_clock_episode_seconds,std_wall_clock_episode_seconds
ppo_ltc_lfm,0.9985024730364481,0.0009340107343552167,0.6927083333333334,0.09490034978275312,64.0,0.0,-55.46683828455087,16.57702330447574,0.003084327938874291,7.29544004041636e-05,0.2230108417570591,0.09473867575015356,0.12121013718812416,0.04329980121872533,64.0,0.0,0.3072916666666667,0.09490034978275311,64.0,0.0,89,stationary,78281,1536,13.392235889099538,0.2217469350240814,0.005583174655604182
random_policy,0.9964904685815176,0.0015046375654178237,0.8098958333333334,0.06654652259989915,64.0,0.0,-75.99096886254073,11.10773901598509,4.963934770785272e-06,1.4047709205503182e-07,2.0318389336268106,0.012396191596662512,0.07153852058884998,0.023771441950915247,64.0,0.0,0.19010416666666666,0.06654652259989915,64.0,0.0,7,non_stationary,0,0,,,
random_policy,0.9978898167610168,0.0012182770300658366,0.7890625,0.05317858816839098,64.0,0.0,-73.13496633513522,8.666935576718936,5.016845231390714e-06,1.9001341942384674e-07,2.0114252964655557,0.0429368275539304,0.0742307521480446,0.022720593414702624,64.0,0.0,0.2109375,0.05317858816839098,64.0,0.0,19,non_stationary,0,0,,,
random_policy,0.9966070055961609,0.0019290265811864734,0.7916666666666666,0.024978289183920414,64.0,0.0,-73.04421075594148,3.443484459015243,4.77602043247316e-06,2.1854152301578498e-07,2.0459755261739097,0.016067855183445768,0.07401624711928889,0.01225055479606945,64.0,0.0,0.20833333333333334,0.024978289183920414,64.0,0.0,23,non_stationary,0,0,,,
random_policy,0.9976251025994619,0.0010054675788003303,0.7786458333333334,0.0718391365840298,64.0,0.0,-71.50500481689039,12.07002788303844,5.006628574240797e-06,2.88729221349493e-07,2.0063581069310508,0.020992822895274665,0.08076379261910915,0.03371766069068588,64.0,0.0,0.22135416666666666,0.0718391365840298,64.0,0.0,41,non_stationary,0,0,,,
random_policy,0.9972768028577169,0.0019595586265524103,0.7369791666666666,0.07885939546732666,64.0,0.0,-64.09787577977406,13.167424712568268,5.1215207956071635e-06,4.6377269649676615e-07,2.0268675684928894,0.027983487016403755,0.09690352579733978,0.02764581315076747,64.0,0.0,0.2630208333333333,0.07885939546732666,64.0,0.0,89,non_stationary,0,0,,,
greedy_heuristic,0.9929636617501577,0.003134301710390838,0.8385416666666666,0.07690012010538229,64.0,0.0,-79.21057628707496,13.805510943399923,9.454091317214383e-06,6.686346709320495e-07,1.6957677205403645,0.11401399403069541,0.07673328936410446,0.034789439334241896,64.0,0.0,0.16145833333333334,0.07690012010538229,64.0,0.0,7,non_stationary,0,0,,,
greedy_heuristic,0.9932104249795278,0.005434096456257932,0.8333333333333334,0.07310244191467812,64.0,0.0,-78.26334135504442,13.702284204981288,1.016240124348163e-05,8.107747096414527e-07,1.7875714699427288,0.10621945828822586,0.07931406217782448,0.0431469724665438,64.0,0.0,0.16666666666666666,0.07310244191467813,64.0,0.0,19,non_stationary,0,0,,,
greedy_heuristic,0.9901144603888193,0.007585749469590621,0.8046875,0.062337027102009494,64.0,0.0,-73.74679475456165,12.280920602724427,9.678971461350253e-06,1.7715884826598471e-07,1.7625515858332317,0.11979145115121106,0.09239143528975546,0.027237338650858905,64.0,0.0,0.1953125,0.062337027102009494,64.0,0.0,23,non_stationary,0,0,,,
greedy_heuristic,0.9910677870114645,0.00873919241703042,0.828125,0.053369535239372906,64.0,0.0,-77.92295613922181,9.956898133945211,9.782809684111271e-06,2.2281052162160755e-07,1.7434178789456685,0.14753794267316284,0.07412968731174867,0.019164310072269448,64.0,0.0,0.171875,0.053369535239372906,64.0,0.0,41,non_stationary,0,0,,,
greedy_heuristic,0.9897248844305674,0.008975403848277476,0.8645833333333334,0.035706534377088775,64.0,0.0,-84.37479898073168,8.316350194244459,9.7690247760814e-06,1.986483919234059e-07,1.757534146308899,0.11380476770081414,0.05880362404665599,0.019809758134989155,64.0,0.0,0.13541666666666666,0.03570653437708877,64.0,0.0,89,non_stationary,0,0,,,
ppo_mlp,0.998481829961141,0.0008098399154284812,0.7447916666666666,0.08777239347058707,64.0,0.0,-64.1981267455034,14.954997857653057,0.00067071095721379,1.3827071785844625e-05,0.0,0.0,0.10500004390875499,0.03755467638001168,64.0,0.0,0.2552083333333333,0.08777239347058707,64.0,0.0,7,non_stationary,56585,1536,3.826813115971163,0.06379590049618855,0.0015409824703643059
ppo_mlp,0.9950364530086517,0.007827939951805371,0.7786458333333334,0.05663688325763423,64.0,0.0,-70.62796155898833,10.041033170134307,0.0006990842730374425,7.656860403219463e-05,0.0,0.0,0.08370887445441137,0.024686898845102924,64.0,0.0,0.22135416666666666,0.05663688325763424,64.0,0.0,19,non_stationary,56585,1536,3.7963512369897217,0.06635591614758596,0.006761441204241157
ppo_mlp,0.9988927642504374,0.0006017414730474582,0.7890625,0.05162559271249742,64.0,0.0,-72.38047458155393,8.790380387572636,0.0006542356489565767,4.5072793053955295e-06,0.013414138307174047,0.029994925114425124,0.08088809996843338,0.019976923271928355,64.0,0.0,0.2109375,0.05162559271249742,64.0,0.0,23,non_stationary,56585,1536,3.6979719939408824,0.06300745900565137,0.00040559087461482197
ppo_mlp,0.9977593024571737,0.0013805269494972425,0.8203125,0.04487939567607835,64.0,0.0,-78.24047529557721,8.260610327080215,0.0006779422183171846,4.489990406809372e-06,0.0,0.0,0.07047497655730695,0.02157918888870714,64.0,0.0,0.1796875,0.04487939567607835,64.0,0.0,41,non_stationary,56585,1536,3.9414653909625486,0.06468575084970023,0.00019307655062589151
ppo_mlp,0.9988789856433868,0.0003778848514064216,0.8072916666666666,0.0429490169335173,64.0,0.0,-75.81618156249947,8.511441448050546,0.0006721103306214596,6.6408809695565524e-06,0.0,0.0,0.07718310439183067,0.022993532184042917,64.0,0.0,0.19270833333333334,0.0429490169335173,64.0,0.0,89,non_stationary,56585,1536,3.689588275970891,0.06455202185316011,0.0004347674094253141
ppo_lstm,0.997766524553299,0.0018791103940113412,0.7760416666666666,0.06228260803698645,64.0,0.0,-69.96904168069983,12.329929993312614,0.0010472174002037111,7.447959028069206e-05,0.0,0.0,0.08516358809235196,0.03122570720117746,64.0,0.0,0.22395833333333334,0.06228260803698646,64.0,0.0,7,non_stationary,44745,1536,5.126280650962144,0.08944670801671843,0.005873973787319881
ppo_lstm,0.9979273577531179,0.0016172043509820836,0.7578125,0.05687585851000405,64.0,0.0,-68.11551590481155,9.732662192062566,0.0010053766897423582,3.530919658371568e-05,0.0,0.0,0.09050281338083248,0.0266392949989109,64.0,0.0,0.2421875,0.05687585851000405,64.0,0.0,19,non_stationary,44745,1536,4.770705029019155,0.08591887081274763,0.002629207058263877
ppo_lstm,0.9984728991985321,0.001227262576470651,0.7708333333333334,0.05823093691405703,64.0,0.0,-69.31668856154236,9.327268010439493,0.001040288975976485,2.4942416271362242e-05,0.0,0.0,0.09122843497122328,0.01995772091335186,64.0,0.0,0.22916666666666666,0.05823093691405703,64.0,0.0,23,non_stationary,44745,1536,4.94658857700415,0.08869662351207808,0.0020753344133660357
ppo_lstm,0.9979335566361746,0.002090749967420283,0.7994791666666666,0.03178790524930652,64.0,0.0,-74.103436832844,5.429287124487252,0.001020973358208721,3.913963176273429e-05,0.0,0.0,0.07728065953900416,0.016466460220384515,64.0,0.0,0.20052083333333334,0.03178790524930652,64.0,0.0,41,non_stationary,44745,1536,4.793557032011449,0.08714308531489223,0.002781781475186124
ppo_lstm,0.9960287014643351,0.0022029737941931674,0.7994791666666666,0.07834171331505897,64.0,0.0,-75.04284254234908,12.597984940281966,0.0010289122592439526,3.0297401444272e-05,0.0,0.0,0.07217608648352325,0.025827837754874825,64.0,0.0,0.20052083333333334,0.07834171331505897,64.0,0.0,89,non_stationary,44745,1536,4.979327093926258,0.08763409565047671,0.0024461591728822713
ppo_gru,0.9970378081003824,0.001660742517029359,0.7760416666666666,0.03897559777889522,64.0,0.0,-70.86211554356854,8.75104216227268,0.0010384370322450802,1.804091299398705e-05,0.0,0.0,0.08314006170257926,0.02122976784603719,64.0,0.0,0.22395833333333334,0.03897559777889522,64.0,0.0,7,non_stationary,36425,1536,5.2778444070136175,0.08684441965306178,0.00152050931093162
ppo_gru,0.9989387492338816,0.0006526507762251845,0.7890625,0.05083130545818525,64.0,0.0,-73.61336270965016,8.815127555556861,0.0010092024737483978,6.963797670378399e-06,0.08048482984304428,0.0,0.07928301262048383,0.022180225680216065,64.0,0.0,0.2109375,0.05083130545818525,64.0,0.0,19,non_stationary,36425,1536,4.911098674987443,0.08459984363677601,0.0005203356237839945
ppo_gru,0.9973563949267069,0.0038730313968340486,0.8072916666666666,0.03897559777889522,64.0,0.0,-75.59261992725855,5.891814445416482,0.0010150992766284617,4.335341057393308e-06,0.0,0.0,0.07055731455329806,0.019306560125901227,64.0,0.0,0.19270833333333334,0.03897559777889522,64.0,0.0,23,non_stationary,36425,1536,4.994604845996946,0.08492251037387177,0.00022078765242538532
ppo_gru,0.998501698176066,0.0010800889546208263,0.8203125,0.056155881908457876,64.0,0.0,-78.03324801423588,8.971764999111038,0.0011911490364582278,0.00024577791718456823,0.14601419245203337,0.036902403000866994,0.06419597940597062,0.02325256706166336,64.0,0.0,0.1796875,0.056155881908457876,64.0,0.0,41,non_stationary,36425,1536,5.718646237975918,0.09944897467115273,0.0192429677120173
