comparison_id,family,scenario,label_a,label_b,n_pairs,mean_a,mean_b,mean_difference,ci_low,ci_high,ci_level,p_value,p_method,holm_adjusted_p,significant,cliffs_delta,cliffs_delta_magnitude,verdict,interval_contains_zero,description
F5_learning_check:ppo_mlp:trained_vs_untrained:interference_heavy,F5_learning_check,interference_heavy,ppo_mlp(trained),ppo_mlp(untrained),12,-88.882575,-88.664661,-0.217914,-4.230332,3.434919,0.95,0.918945,exact_sign_flip,1.0,False,-0.0625,negligible,no_detectable_difference,True,"ppo_mlp(trained) vs ppo_mlp(untrained) on interference_heavy: no detectable difference (mean difference -0.218, 95% CI [-4.230, 3.435], p=0.919 (exact_sign_flip), n=12)."
F5_learning_check:ppo_transformer:trained_vs_untrained:interference_heavy,F5_learning_check,interference_heavy,ppo_transformer(trained),ppo_transformer(untrained),12,-89.848074,-92.209084,2.36101,-0.063591,4.636307,0.95,0.089844,exact_sign_flip,1.0,False,0.416667,medium,no_detectable_difference,True,"ppo_transformer(trained) vs ppo_transformer(untrained) on interference_heavy: no detectable difference (mean difference 2.361, 95% CI [-0.064, 4.636], p=0.090 (exact_sign_flip), n=12)."
F5_learning_check:ppo_cfc:trained_vs_untrained:irregular_dt,F5_learning_check,irregular_dt,ppo_cfc(trained),ppo_cfc(untrained),12,-50.828057,-46.663674,-4.164383,-7.244592,-0.620305,0.95,0.04541,exact_sign_flip,1.0,False,-0.555556,large,favours_b,False,"ppo_cfc(trained) scored 4.164 lower than ppo_cfc(untrained) on irregular_dt (95% CI [-7.245, -0.620], p=0.045 (exact_sign_flip), n=12, Cliff's delta -0.556 [large])."
F5_learning_check:ppo_cfc_dtblind:trained_vs_untrained:irregular_dt,F5_learning_check,irregular_dt,ppo_cfc_dtblind(trained),ppo_cfc_dtblind(untrained),12,-50.820827,-52.124269,1.303442,-2.614669,5.175735,0.95,0.566895,exact_sign_flip,1.0,False,0.180556,small,no_detectable_difference,True,"ppo_cfc_dtblind(trained) vs ppo_cfc_dtblind(untrained) on irregular_dt: no detectable difference (mean difference 1.303, 95% CI [-2.615, 5.176], p=0.567 (exact_sign_flip), n=12)."
F5_learning_check:ppo_gru:trained_vs_untrained:irregular_dt,F5_learning_check,irregular_dt,ppo_gru(trained),ppo_gru(untrained),12,-51.723982,-51.860937,0.136956,-2.24405,2.773464,0.95,0.925781,exact_sign_flip,1.0,False,-0.083333,negligible,no_detectable_difference,True,"ppo_gru(trained) vs ppo_gru(untrained) on irregular_dt: no detectable difference (mean difference 0.137, 95% CI [-2.244, 2.773], p=0.926 (exact_sign_flip), n=12)."
F5_learning_check:ppo_ltc:trained_vs_untrained:irregular_dt,F5_learning_check,irregular_dt,ppo_ltc(trained),ppo_ltc(untrained),12,-49.41069,-51.207563,1.796872,-2.870227,6.183893,0.95,0.453125,exact_sign_flip,1.0,False,0.180556,small,no_detectable_difference,True,"ppo_ltc(trained) vs ppo_ltc(untrained) on irregular_dt: no detectable difference (mean difference 1.797, 95% CI [-2.870, 6.184], p=0.453 (exact_sign_flip), n=12)."
F5_learning_check:ppo_ltc_cfc:trained_vs_untrained:irregular_dt,F5_learning_check,irregular_dt,ppo_ltc_cfc(trained),ppo_ltc_cfc(untrained),12,-50.459529,-50.918765,0.459236,-4.484834,5.231406,0.95,0.860352,exact_sign_flip,1.0,False,0.097222,negligible,no_detectable_difference,True,"ppo_ltc_cfc(trained) vs ppo_ltc_cfc(untrained) on irregular_dt: no detectable difference (mean difference 0.459, 95% CI [-4.485, 5.231], p=0.860 (exact_sign_flip), n=12)."
F5_learning_check:ppo_mlp:trained_vs_untrained:irregular_dt,F5_learning_check,irregular_dt,ppo_mlp(trained),ppo_mlp(untrained),12,-52.8814,-50.801148,-2.080252,-5.04597,0.89658,0.95,0.211914,exact_sign_flip,1.0,False,-0.229167,small,no_detectable_difference,True,"ppo_mlp(trained) vs ppo_mlp(untrained) on irregular_dt: no detectable difference (mean difference -2.080, 95% CI [-5.046, 0.897], p=0.212 (exact_sign_flip), n=12)."
F5_learning_check:ppo_transformer:trained_vs_untrained:irregular_dt,F5_learning_check,irregular_dt,ppo_transformer(trained),ppo_transformer(untrained),12,-48.634344,-53.748127,5.113782,1.095308,9.286269,0.95,0.038574,exact_sign_flip,1.0,False,0.527778,large,favours_a,False,"ppo_transformer(trained) scored 5.114 higher than ppo_transformer(untrained) on irregular_dt (95% CI [1.095, 9.286], p=0.039 (exact_sign_flip), n=12, Cliff's delta 0.528 [large])."
F5_learning_check:ppo_cfc:trained_vs_untrained:non_stationary,F5_learning_check,non_stationary,ppo_cfc(trained),ppo_cfc(untrained),12,-62.194105,-62.172424,-0.021681,-4.020444,5.215861,0.95,0.996094,exact_sign_flip,1.0,False,-0.222222,small,no_detectable_difference,True,"ppo_cfc(trained) vs ppo_cfc(untrained) on non_stationary: no detectable difference (mean difference -0.022, 95% CI [-4.020, 5.216], p=0.996 (exact_sign_flip), n=12)."
F5_learning_check:ppo_cfc_dtblind:trained_vs_untrained:non_stationary,F5_learning_check,non_stationary,ppo_cfc_dtblind(trained),ppo_cfc_dtblind(untrained),12,-63.427836,-62.034286,-1.39355,-5.114105,2.117707,0.95,0.489258,exact_sign_flip,1.0,False,-0.145833,negligible,no_detectable_difference,True,"ppo_cfc_dtblind(trained) vs ppo_cfc_dtblind(untrained) on non_stationary: no detectable difference (mean difference -1.394, 95% CI [-5.114, 2.118], p=0.489 (exact_sign_flip), n=12)."
F5_learning_check:ppo_gru:trained_vs_untrained:non_stationary,F5_learning_check,non_stationary,ppo_gru(trained),ppo_gru(untrained),12,-61.611685,-62.481962,0.870277,-2.696706,4.293353,0.95,0.645508,exact_sign_flip,1.0,False,0.083333,negligible,no_detectable_difference,True,"ppo_gru(trained) vs ppo_gru(untrained) on non_stationary: no detectable difference (mean difference 0.870, 95% CI [-2.697, 4.293], p=0.646 (exact_sign_flip), n=12)."
F5_learning_check:ppo_ltc:trained_vs_untrained:non_stationary,F5_learning_check,non_stationary,ppo_ltc(trained),ppo_ltc(untrained),12,-63.484967,-63.528098,0.043131,-1.220824,1.2161,0.95,0.945312,exact_sign_flip,1.0,False,-0.013889,negligible,no_detectable_difference,True,"ppo_ltc(trained) vs ppo_ltc(untrained) on non_stationary: no detectable difference (mean difference 0.043, 95% CI [-1.221, 1.216], p=0.945 (exact_sign_flip), n=12)."
F5_learning_check:ppo_ltc_cfc:trained_vs_untrained:non_stationary,F5_learning_check,non_stationary,ppo_ltc_cfc(trained),ppo_ltc_cfc(untrained),12,-62.952071,-62.999438,0.047368,-2.475176,2.706284,0.95,0.989746,exact_sign_flip,1.0,False,0.041667,negligible,no_detectable_difference,True,"ppo_ltc_cfc(trained) vs ppo_ltc_cfc(untrained) on non_stationary: no detectable difference (mean difference 0.047, 95% CI [-2.475, 2.706], p=0.990 (exact_sign_flip), n=12)."
